timestamp,house_id,season,festival,temperature_c,ac,fridge,lights,fans,washing_machine,tv,geyser,other_appliances,kwh
2024-01-21,H004,winter,no,21.63,0.0,0.503,0.115,0.336,0.052,0.105,0.503,0.467,5.466
2024-01-22,H003,winter,no,20.64,0.0,0.616,0.326,0.349,0.308,0.193,0.442,0.364,5.663
2024-01-23,H003,winter,no,24.45,0.0,0.526,0.33,0.467,0.091,0.236,0.482,0.706,5.367
2024-01-24,H005,winter,no,21.69,0.0,0.487,0.333,0.314,0.243,0.185,0.491,0.303,4.429
2024-01-25,H003,winter,no,21.14,0.0,0.524,0.263,0.436,0.158,0.246,0.478,0.389,5.037
2024-01-26,H001,winter,no,21.3,0.0,0.393,0.404,0.299,0.171,0.195,0.495,0.271,4.984
2024-01-27,H004,winter,no,23.06,0.0,0.543,0.268,0.389,0.161,0.158,0.382,0.463,5.289
2024-01-28,H005,winter,no,22.73,0.0,0.54,0.329,0.272,0.2,0.124,0.377,0.404,5.361
2024-01-29,H001,winter,no,22.83,0.0,0.599,0.342,0.346,0.217,0.173,0.447,0.264,5.317
2024-01-30,H003,winter,no,22.86,0.0,0.437,0.42,0.446,0.265,0.214,0.449,0.328,5.38
2024-01-31,H003,winter,no,26.28,0.252,0.62,0.278,0.567,0.293,0.063,0.408,0.497,6.551
2024-02-01,H001,winter,no,25.69,0.129,0.599,0.254,0.565,0.207,0.145,0.469,0.485,6.218
2024-02-02,H002,winter,no,25.48,0.079,0.625,0.195,0.553,0.317,0.06,0.523,0.219,6.387
2024-02-03,H005,winter,no,24.87,0.0,0.547,0.409,0.652,0.187,0.157,0.545,0.313,5.353
2024-02-04,H002,winter,no,27.73,0.327,0.611,0.329,0.539,0.266,0.284,0.563,0.542,8.062
2024-02-05,H003,winter,no,28.76,0.553,0.462,0.332,0.511,0.214,0.117,0.345,0.343,8.287
2024-02-06,H004,winter,no,26.27,0.09,0.593,0.518,0.457,0.136,0.249,0.357,0.378,5.33
2024-02-07,H003,winter,no,24.82,0.0,0.504,0.323,0.426,0.194,0.399,0.427,0.463,5.727
2024-02-08,H005,winter,no,24.85,0.031,0.451,0.209,0.406,0.22,0.302,0.456,0.227,5.435
2024-02-09,H003,winter,no,27.8,0.401,0.483,0.286,0.61,0.177,0.209,0.431,0.266,6.572
2024-02-10,H005,winter,no,27.99,0.412,0.55,0.232,0.71,0.213,0.26,0.406,0.328,8.027
2024-02-11,H001,winter,no,27.59,0.356,0.501,0.272,0.717,0.249,0.104,0.426,0.48,7.438
2024-02-12,H005,winter,no,25.17,0.0,0.573,0.272,0.537,0.178,0.09,0.489,0.462,5.219
2024-02-13,H001,winter,no,26.96,0.309,0.442,0.259,0.74,0.0,0.202,0.344,0.432,6.365
2024-02-14,H005,winter,no,26.73,0.213,0.422,0.202,0.531,0.314,0.228,0.637,0.346,6.949
2024-02-15,H004,winter,no,26.94,0.203,0.632,0.411,0.437,0.156,0.277,0.452,0.473,6.477
2024-02-16,H003,winter,no,28.24,0.38,0.604,0.321,0.704,0.114,0.16,0.534,0.345,7.221
2024-02-17,H005,winter,no,26.95,0.405,0.487,0.284,0.421,0.09,0.214,0.404,0.418,7.075
2024-02-18,H004,winter,no,27.86,0.218,0.55,0.353,0.544,0.153,0.211,0.496,0.451,6.741
2024-02-19,H004,winter,no,26.64,0.244,0.611,0.333,0.597,0.135,0.191,0.458,0.53,6.356
2024-02-20,H004,winter,no,27.08,0.125,0.575,0.319,0.565,0.121,0.195,0.519,0.354,5.774
2024-02-21,H005,winter,no,27.76,0.337,0.559,0.348,0.585,0.125,0.14,0.434,0.324,6.855
2024-02-22,H002,winter,no,23.59,0.0,0.616,0.309,0.339,0.222,0.22,0.574,0.49,5.615
2024-02-23,H005,winter,no,25.86,0.0,0.506,0.347,0.524,0.342,0.214,0.331,0.497,5.818
2024-02-24,H003,winter,no,25.56,0.101,0.552,0.353,0.593,0.246,0.169,0.526,0.306,6.398
2024-02-25,H001,winter,no,25.22,0.0,0.549,0.311,0.5,0.27,0.247,0.459,0.249,5.453
2024-02-26,H005,winter,no,25.95,0.0,0.534,0.285,0.462,0.15,0.272,0.369,0.482,4.778
2024-02-27,H004,winter,no,29.49,0.628,0.527,0.407,0.57,0.188,0.247,0.606,0.196,8.727
2024-02-28,H005,winter,no,24.77,0.086,0.554,0.267,0.416,0.214,0.127,0.598,0.191,5.441
2024-02-29,H004,winter,no,28.44,0.549,0.552,0.327,0.659,0.127,0.207,0.284,0.333,7.769
2024-03-01,H002,summer,no,26.43,0.207,0.487,0.329,0.575,0.146,0.136,0.264,0.36,5.937
2024-03-02,H002,summer,no,29.12,0.519,0.598,0.257,0.591,0.248,0.207,0.306,0.244,8.197
2024-03-03,H002,summer,no,30.12,0.746,0.491,0.243,0.518,0.267,0.136,0.285,0.372,9.042
2024-03-04,H003,summer,no,30.97,0.88,0.537,0.275,0.762,0.185,0.289,0.371,0.377,9.798
2024-03-05,H001,summer,no,31.22,0.868,0.532,0.266,0.667,0.084,0.255,0.355,0.302,9.1
2024-03-06,H004,summer,no,31.38,0.722,0.571,0.198,0.8,0.156,0.281,0.271,0.553,8.834
2024-03-07,H004,summer,no,29.1,0.528,0.423,0.254,0.593,0.065,0.274,0.432,0.393,7.94
2024-03-08,H005,summer,no,28.87,0.519,0.603,0.319,0.566,0.186,0.181,0.325,0.463,7.688
2024-03-09,H003,summer,no,31.51,0.669,0.509,0.389,0.763,0.2,0.17,0.222,0.204,8.251
2024-03-10,H005,summer,no,29.41,0.589,0.623,0.339,0.855,0.158,0.322,0.206,0.204,9.03
2024-03-11,H002,summer,no,27.24,0.462,0.521,0.118,0.64,0.199,0.188,0.349,0.396,6.982
2024-03-12,H003,summer,no,27.53,0.367,0.547,0.345,0.602,0.213,0.105,0.187,0.535,6.901
2024-03-13,H004,summer,no,27.96,0.487,0.665,0.261,0.637,0.201,0.271,0.217,0.249,7.704
2024-03-14,H004,summer,no,30.79,0.738,0.533,0.332,0.581,0.084,0.21,0.231,0.364,8.528
2024-03-15,H004,summer,no,30.08,0.629,0.624,0.299,0.603,0.16,0.305,0.278,0.226,7.377
2024-03-16,H003,summer,no,31.18,0.802,0.552,0.287,0.536,0.213,0.217,0.235,0.278,9.363
2024-03-17,H001,summer,no,28.94,0.427,0.575,0.293,0.786,0.306,0.199,0.145,0.369,8.216
2024-03-18,H005,summer,no,30.11,0.562,0.554,0.298,0.817,0.158,0.307,0.343,0.301,8.518
2024-03-19,H002,summer,no,31.05,0.857,0.601,0.394,0.763,0.224,0.092,0.218,0.219,8.642
2024-03-20,H004,summer,no,29.18,0.632,0.509,0.299,0.668,0.25,0.159,0.412,0.217,9.07
2024-03-21,H001,summer,no,30.71,0.634,0.491,0.376,0.594,0.164,0.138,0.274,0.161,7.44
2024-03-22,H005,summer,no,28.47,0.511,0.512,0.366,0.611,0.272,0.046,0.351,0.398,7.341
2024-03-23,H002,summer,no,29.07,0.502,0.556,0.347,0.796,0.276,0.261,0.3,0.41,8.751
2024-03-24,H005,summer,no,29.03,0.531,0.537,0.175,0.662,0.29,0.161,0.355,0.409,8.39
2024-03-25,H004,summer,no,27.4,0.337,0.593,0.378,0.541,0.217,0.263,0.296,0.259,6.871
2024-03-26,H002,summer,no,30.77,0.801,0.628,0.268,0.58,0.369,0.227,0.269,0.451,9.254
2024-03-27,H002,summer,no,28.86,0.489,0.491,0.35,0.755,0.131,0.242,0.337,0.421,8.239
2024-03-28,H005,summer,no,29.82,0.715,0.506,0.232,0.677,0.35,0.168,0.449,0.351,9.003
2024-03-29,H003,summer,no,30.76,0.744,0.464,0.217,0.58,0.241,0.147,0.228,0.334,7.901
2024-03-30,H004,summer,no,30.69,0.761,0.672,0.438,0.644,0.287,0.206,0.314,0.285,10.118
2024-03-31,H004,summer,no,31.12,0.699,0.568,0.233,0.633,0.154,0.264,0.25,0.369,8.953
2024-04-01,H002,summer,no,30.8,0.898,0.579,0.38,0.712,0.248,0.196,0.29,0.512,10.435
2024-04-02,H001,summer,no,30.15,0.682,0.47,0.308,0.713,0.294,0.151,0.253,0.464,8.851
2024-04-03,H001,summer,no,30.84,0.787,0.55,0.271,0.683,0.093,0.116,0.077,0.324,9.315
2024-04-04,H003,summer,no,27.63,0.2,0.581,0.297,0.657,0.167,0.214,0.234,0.404,6.005
2024-04-05,H004,summer,no,28.11,0.322,0.535,0.209,0.621,0.009,0.161,0.33,0.24,6.228
2024-04-06,H002,summer,no,28.35,0.518,0.615,0.299,0.709,0.166,0.195,0.189,0.423,8.345
2024-04-07,H002,summer,no,29.01,0.524,0.689,0.224,0.622,0.115,0.183,0.324,0.267,7.883
2024-04-08,H002,summer,no,31.8,0.697,0.493,0.272,1.006,0.163,0.169,0.265,0.419,9.159
2024-04-09,H002,summer,no,29.19,0.607,0.489,0.365,0.612,0.414,0.221,0.235,0.647,7.616
2024-04-10,H003,summer,no,30.24,0.612,0.497,0.318,0.627,0.317,0.239,0.322,0.293,8.291
2024-04-11,H003,summer,no,33.6,1.188,0.646,0.196,0.752,0.065,0.338,0.304,0.642,11.456
2024-04-12,H002,summer,no,30.29,0.654,0.613,0.36,0.685,0.224,0.253,0.284,0.399,8.677
2024-04-13,H001,summer,no,32.48,0.951,0.542,0.3,0.651,0.244,0.312,0.331,0.275,10.1
2024-04-14,H001,summer,no,29.13,0.611,0.552,0.262,0.679,0.153,0.143,0.266,0.27,8.598
2024-04-15,H003,summer,no,30.59,0.627,0.501,0.352,0.561,0.194,0.088,0.118,0.586,7.811
2024-04-16,H001,summer,no,29.1,0.433,0.603,0.288,0.667,0.202,0.199,0.22,0.399,7.388
2024-04-17,H004,summer,no,30.32,0.65,0.527,0.218,0.595,0.072,0.26,0.106,0.293,7.739
2024-04-18,H001,summer,no,32.68,1.026,0.534,0.429,0.767,0.097,0.249,0.303,0.33,10.612
2024-04-19,H001,summer,no,27.55,0.212,0.587,0.299,0.64,0.194,0.285,0.322,0.393,6.907
2024-04-20,H004,summer,no,31.87,0.725,0.539,0.294,0.949,0.188,0.022,0.325,0.349,9.334
2024-04-21,H004,summer,no,31.48,0.875,0.536,0.272,0.663,0.123,0.288,0.289,0.385,10.148
2024-04-22,H004,summer,no,29.81,0.553,0.551,0.383,0.67,0.116,0.223,0.327,0.527,8.208
2024-04-23,H001,summer,no,28.11,0.357,0.598,0.263,0.556,0.173,0.092,0.124,0.237,6.118
2024-04-24,H004,summer,no,31.14,0.619,0.649,0.192,0.666,0.251,0.251,0.241,0.414,8.33
2024-04-25,H005,summer,no,29.94,0.563,0.585,0.252,0.63,0.174,0.212,0.137,0.343,7.558
2024-04-26,H004,summer,no,31.47,0.808,0.598,0.393,0.815,0.31,0.227,0.221,0.3,9.762
2024-04-27,H002,summer,no,31.04,0.83,0.538,0.358,0.693,0.124,0.27,0.379,0.457,9.986
2024-04-28,H003,summer,no,34.2,1.089,0.508,0.282,1.038,0.195,0.23,0.337,0.204,10.991
2024-04-29,H005,summer,no,30.52,0.823,0.589,0.396,0.744,0.152,0.097,0.303,0.113,9.027
2024-04-30,H001,summer,no,28.95,0.439,0.56,0.352,0.567,0.227,0.19,0.235,0.372,6.731
2024-05-01,H004,summer,no,30.15,0.589,0.465,0.281,0.667,0.117,0.087,0.171,0.336,7.457
2024-05-02,H002,summer,no,30.23,0.777,0.53,0.288,0.635,0.334,0.245,0.265,0.215,9.03
2024-05-03,H005,summer,no,32.51,0.956,0.545,0.323,0.855,0.045,0.298,0.339,0.179,10.61
2024-05-04,H001,summer,no,31.46,0.764,0.519,0.242,0.617,0.317,0.113,0.283,0.543,9.871
2024-05-05,H003,summer,no,30.51,0.676,0.639,0.3,0.603,0.187,0.153,0.123,0.396,8.28
2024-05-06,H003,summer,no,32.72,1.073,0.579,0.322,0.752,0.224,0.138,0.258,0.352,10.665
2024-05-07,H003,summer,no,27.42,0.419,0.632,0.182,0.641,0.287,0.168,0.097,0.57,7.284
2024-05-08,H002,summer,no,28.51,0.374,0.566,0.287,0.729,0.249,0.229,0.314,0.452,7.262
2024-05-09,H001,summer,no,27.94,0.364,0.555,0.279,0.718,0.122,0.169,0.195,0.527,6.844
2024-05-10,H005,summer,no,29.01,0.509,0.494,0.372,0.693,0.228,0.246,0.152,0.232,7.378
2024-05-11,H003,summer,no,27.04,0.176,0.551,0.171,0.565,0.329,0.275,0.315,0.228,6.96
2024-05-12,H004,summer,no,31.06,0.754,0.551,0.273,0.796,0.109,0.277,0.295,0.412,9.283
2024-05-13,H003,summer,no,29.35,0.544,0.468,0.266,0.572,0.349,0.122,0.269,0.391,7.858
2024-05-14,H003,summer,no,26.85,0.323,0.518,0.367,0.417,0.211,0.297,0.425,0.475,6.07
2024-05-15,H004,summer,no,27.76,0.442,0.531,0.297,0.635,0.145,0.303,0.301,0.187,7.482
2024-05-16,H003,summer,no,30.42,0.651,0.575,0.426,0.626,0.109,0.309,0.198,0.42,8.879
2024-05-17,H001,summer,no,31.47,0.792,0.578,0.346,0.744,0.162,0.189,0.292,0.449,8.955
2024-05-18,H001,summer,no,33.79,1.152,0.515,0.271,0.851,0.024,0.147,0.227,0.444,10.912
2024-05-19,H003,summer,no,35.62,1.281,0.578,0.317,0.935,0.147,0.131,0.351,0.309,12.334
2024-05-20,H001,summer,no,30.62,0.75,0.539,0.275,0.79,0.159,0.123,0.272,0.402,8.889
2024-05-21,H003,summer,no,27.82,0.345,0.378,0.36,0.669,0.094,0.201,0.28,0.272,6.644
2024-05-22,H004,summer,no,25.53,0.0,0.521,0.207,0.527,0.24,0.259,0.135,0.321,4.606
2024-05-23,H003,summer,no,30.33,0.59,0.615,0.242,0.668,0.162,0.291,0.255,0.246,8.673
2024-05-24,H001,summer,no,28.17,0.512,0.449,0.332,0.625,0.129,0.166,0.245,0.274,7.046
2024-05-25,H004,summer,no,28.96,0.483,0.557,0.386,0.601,0.154,0.197,0.168,0.326,8.606
2024-05-26,H005,summer,no,28.57,0.577,0.645,0.146,0.617,0.208,0.193,0.232,0.301,8.584
2024-05-27,H002,summer,no,29.51,0.523,0.504,0.396,0.88,0.186,0.156,0.285,0.274,8.202
2024-05-28,H001,summer,no,31.93,0.889,0.55,0.29,0.782,0.124,0.252,0.25,0.22,9.123
2024-05-29,H003,summer,no,30.11,0.83,0.472,0.168,0.73,0.19,0.225,0.137,0.546,9.431
2024-05-30,H004,summer,no,29.48,0.475,0.648,0.1,0.613,0.176,0.21,0.228,0.3,7.414
2024-05-31,H002,summer,no,27.72,0.189,0.545,0.193,0.681,0.089,0.225,0.213,0.383,5.035
2024-06-01,H003,summer,no,23.15,0.0,0.553,0.299,0.477,0.157,0.243,0.265,0.174,4.561
2024-06-02,H004,summer,no,25.53,0.0,0.631,0.295,0.572,0.226,0.242,0.257,0.486,5.786
2024-06-03,H003,summer,no,26.39,0.172,0.59,0.344,0.563,0.226,0.141,0.217,0.367,5.814
2024-06-04,H004,summer,no,30.04,0.583,0.497,0.262,0.774,0.162,0.263,0.214,0.306,7.764
2024-06-05,H001,summer,no,26.76,0.242,0.511,0.222,0.662,0.234,0.218,0.255,0.306,6.568
2024-06-06,H002,summer,no,28.47,0.357,0.58,0.271,0.651,0.102,0.17,0.327,0.437,6.583
2024-06-07,H003,summer,no,25.5,0.048,0.513,0.302,0.501,0.104,0.216,0.272,0.055,4.551
2024-06-08,H002,summer,no,24.13,0.0,0.423,0.316,0.527,0.16,0.224,0.364,0.268,4.959
2024-06-09,H005,summer,no,24.57,0.0,0.547,0.245,0.4,0.3,0.276,0.341,0.338,5.589
2024-06-10,H004,summer,no,25.05,0.0,0.461,0.363,0.435,0.193,0.127,0.37,0.337,4.233
2024-06-11,H003,summer,no,30.76,0.692,0.647,0.257,0.716,0.158,0.293,0.359,0.601,8.98
2024-06-12,H004,summer,no,24.86,0.0,0.561,0.239,0.345,0.304,0.202,0.375,0.316,4.349
2024-06-13,H005,summer,no,28.18,0.363,0.496,0.262,0.683,0.157,0.165,0.158,0.449,6.563
2024-06-14,H001,summer,no,24.69,0.0,0.508,0.375,0.401,0.359,0.162,0.302,0.531,5.488
2024-06-15,H003,summer,no,28.36,0.388,0.437,0.291,0.587,0.139,0.13,0.347,0.417,7.432
2024-06-16,H003,summer,no,27.27,0.262,0.484,0.251,0.564,0.099,0.078,0.362,0.283,6.046
2024-06-17,H004,summer,no,26.19,0.147,0.611,0.365,0.541,0.167,0.247,0.188,0.222,5.799
2024-06-18,H002,summer,no,26.42,0.125,0.684,0.45,0.519,0.16,0.339,0.303,0.425,6.076
2024-06-19,H002,summer,no,25.19,0.079,0.594,0.315,0.492,0.115,0.087,0.256,0.515,5.744
2024-06-20,H004,summer,no,27.39,0.414,0.544,0.386,0.581,0.388,0.133,0.398,0.405,7.559
2024-06-21,H005,summer,no,25.59,0.037,0.524,0.373,0.478,0.205,0.253,0.139,0.473,4.08
2024-06-22,H001,summer,no,24.05,0.0,0.493,0.258,0.39,0.217,0.197,0.188,0.609,5.487
2024-06-23,H004,summer,no,23.94,0.0,0.674,0.302,0.534,0.143,0.258,0.105,0.434,5.14
2024-06-24,H004,summer,no,26.85,0.26,0.539,0.21,0.395,0.134,0.193,0.262,0.24,5.661
2024-06-25,H001,summer,no,29.66,0.708,0.677,0.286,0.66,0.262,0.159,0.431,0.355,9.201
2024-06-26,H004,summer,no,26.82,0.268,0.634,0.256,0.525,0.046,0.184,0.246,0.487,5.72
2024-06-27,H005,summer,no,26.26,0.016,0.446,0.272,0.574,0.089,0.033,0.258,0.325,4.549
2024-06-28,H005,summer,no,27.07,0.295,0.51,0.248,0.457,0.16,0.12,0.294,0.501,6.456
2024-06-29,H001,summer,no,29.11,0.613,0.51,0.28,0.614,0.288,0.266,0.241,0.343,8.676
2024-06-30,H005,summer,no,26.94,0.225,0.545,0.337,0.559,0.15,0.283,0.279,0.383,6.367
2024-07-01,H002,monsoon,no,21.18,0.0,0.546,0.292,0.423,0.213,0.298,0.281,0.315,5.279
2024-07-02,H003,monsoon,no,24.21,0.0,0.73,0.169,0.485,0.182,0.231,0.182,0.366,4.54
2024-07-03,H002,monsoon,no,22.86,0.0,0.485,0.248,0.31,0.284,0.042,0.242,0.371,4.239
2024-07-04,H004,monsoon,no,25.07,0.02,0.564,0.194,0.454,0.053,0.156,0.309,0.189,4.458
2024-07-05,H001,monsoon,no,22.37,0.0,0.587,0.317,0.456,0.239,0.293,0.324,0.306,5.24
2024-07-06,H004,monsoon,no,19.55,0.0,0.55,0.335,0.176,0.164,0.314,0.354,0.227,4.895
2024-07-07,H001,monsoon,no,19.26,0.0,0.557,0.318,0.254,0.254,0.295,0.277,0.309,5.593
2024-07-08,H005,monsoon,no,25.3,0.0,0.487,0.245,0.501,0.114,0.183,0.278,0.27,4.676
2024-07-09,H002,monsoon,no,25.45,0.0,0.556,0.317,0.477,0.182,0.109,0.31,0.451,4.972
2024-07-10,H003,monsoon,no,21.64,0.0,0.581,0.267,0.571,0.172,0.197,0.202,0.452,5.058
2024-07-11,H002,monsoon,no,21.23,0.0,0.57,0.22,0.306,0.1,0.201,0.199,0.406,4.693
2024-07-12,H001,monsoon,no,24.92,0.0,0.584,0.352,0.523,0.078,0.31,0.24,0.223,4.922
2024-07-13,H001,monsoon,no,19.79,0.0,0.635,0.357,0.22,0.134,0.216,0.148,0.34,4.207
2024-07-14,H005,monsoon,no,20.21,0.0,0.606,0.366,0.341,0.19,0.201,0.283,0.215,5.478
2024-07-15,H001,monsoon,no,23.29,0.0,0.554,0.257,0.491,0.119,0.205,0.334,0.335,4.885
2024-07-16,H001,monsoon,no,21.21,0.0,0.48,0.383,0.291,0.154,0.228,0.193,0.415,4.827
2024-07-17,H003,monsoon,no,21.99,0.0,0.514,0.265,0.365,0.029,0.244,0.285,0.449,4.466
2024-07-18,H005,monsoon,no,21.67,0.0,0.537,0.346,0.285,0.15,0.149,0.2,0.397,3.868
2024-07-19,H001,monsoon,no,22.68,0.0,0.565,0.264,0.305,0.262,0.126,0.169,0.476,3.841
2024-07-20,H002,monsoon,no,24.81,0.0,0.521,0.284,0.566,0.236,0.296,0.414,0.376,5.372
2024-07-21,H003,monsoon,no,22.18,0.0,0.494,0.131,0.333,0.173,0.085,0.17,0.327,4.642
2024-07-22,H003,monsoon,no,23.29,0.0,0.479,0.279,0.228,0.199,0.315,0.148,0.437,4.973
2024-07-23,H001,monsoon,no,17.9,0.0,0.451,0.306,0.347,0.114,0.066,0.267,0.441,4.526
2024-07-24,H005,monsoon,no,21.9,0.0,0.536,0.271,0.302,0.31,0.159,0.271,0.298,4.319
2024-07-25,H002,monsoon,no,20.31,0.0,0.462,0.423,0.283,0.345,0.268,0.303,0.388,4.779
2024-07-26,H004,monsoon,no,19.56,0.0,0.49,0.219,0.404,0.193,0.2,0.41,0.321,5.284
2024-07-27,H003,monsoon,no,20.24,0.0,0.526,0.261,0.288,0.387,0.108,0.188,0.149,4.311
2024-07-28,H003,monsoon,no,21.33,0.0,0.47,0.237,0.33,0.126,0.23,0.204,0.394,5.504
2024-07-29,H005,monsoon,no,23.83,0.0,0.573,0.261,0.345,0.08,0.205,0.379,0.221,5.248
2024-07-30,H002,monsoon,no,19.35,0.0,0.594,0.372,0.133,0.123,0.185,0.325,0.383,5.354
2024-07-31,H005,monsoon,no,22.06,0.0,0.517,0.403,0.359,0.162,0.156,0.314,0.196,4.763
2024-08-01,H002,monsoon,no,16.53,0.0,0.524,0.251,0.18,0.365,0.198,0.203,0.278,4.384
2024-08-02,H002,monsoon,no,16.84,0.0,0.582,0.249,0.188,0.158,0.159,0.34,0.307,4.61
2024-08-03,H001,monsoon,no,19.51,0.0,0.507,0.219,0.232,0.111,0.37,0.314,0.47,5.388
2024-08-04,H002,monsoon,no,18.58,0.0,0.503,0.391,0.235,0.108,0.183,0.265,0.297,4.554
2024-08-05,H003,monsoon,no,20.17,0.0,0.622,0.378,0.15,0.271,0.174,0.203,0.243,4.155
2024-08-06,H004,monsoon,no,17.19,0.0,0.603,0.293,0.214,0.26,0.162,0.259,0.386,4.596
2024-08-07,H003,monsoon,no,16.11,0.0,0.586,0.202,0.147,0.141,0.324,0.382,0.328,4.379
2024-08-08,H002,monsoon,no,17.05,0.0,0.606,0.209,0.33,0.03,0.085,0.162,0.429,4.664
2024-08-09,H002,monsoon,no,17.98,0.0,0.431,0.312,0.21,0.09,0.225,0.186,0.249,3.864
2024-08-10,H005,monsoon,no,17.85,0.0,0.631,0.338,0.129,0.318,0.183,0.2,0.371,5.066
2024-08-11,H002,monsoon,no,15.33,0.0,0.574,0.155,0.1,0.235,0.1,0.217,0.597,5.103
2024-08-12,H002,monsoon,no,17.68,0.0,0.611,0.278,0.171,0.185,0.143,0.249,0.326,4.882
2024-08-13,H005,monsoon,no,17.96,0.0,0.573,0.413,0.243,0.33,0.222,0.327,0.369,5.151
2024-08-14,H004,monsoon,no,22.53,0.0,0.553,0.285,0.394,0.337,0.139,0.287,0.184,4.892
2024-08-15,H005,monsoon,no,21.25,0.0,0.533,0.404,0.239,0.177,0.218,0.255,0.265,4.226
2024-08-16,H002,monsoon,no,15.79,0.0,0.572,0.345,0.1,0.179,0.321,0.272,0.396,5.041
2024-08-17,H003,monsoon,no,16.93,0.0,0.531,0.224,0.188,0.133,0.212,0.3,0.317,5.163
2024-08-18,H004,monsoon,no,14.57,0.0,0.602,0.28,0.184,0.157,0.098,0.115,0.411,3.928
2024-08-19,H005,monsoon,no,16.32,0.0,0.455,0.291,0.149,0.061,0.141,0.336,0.392,4.858
2024-08-20,H004,monsoon,no,18.13,0.0,0.518,0.233,0.28,0.061,0.18,0.184,0.218,3.816
2024-08-21,H003,monsoon,no,19.91,0.0,0.673,0.232,0.367,0.042,0.175,0.215,0.452,4.822
2024-08-22,H003,monsoon,no,16.04,0.0,0.512,0.405,0.153,0.267,0.211,0.277,0.226,4.591
2024-08-23,H002,monsoon,no,16.19,0.0,0.536,0.232,0.1,0.055,0.222,0.244,0.274,4.033
2024-08-24,H003,monsoon,no,13.21,0.0,0.497,0.375,0.1,0.336,0.321,0.289,0.373,5.119
2024-08-25,H002,monsoon,no,17.17,0.0,0.57,0.269,0.274,0.122,0.2,0.261,0.507,4.677
2024-08-26,H001,monsoon,no,15.38,0.0,0.506,0.298,0.147,0.319,0.119,0.227,0.25,4.526
2024-08-27,H005,monsoon,no,16.44,0.0,0.539,0.339,0.208,0.151,0.281,0.372,0.365,4.694
2024-08-28,H001,monsoon,no,15.75,0.0,0.601,0.258,0.1,0.055,0.288,0.307,0.366,3.975
2024-08-29,H002,monsoon,no,17.31,0.0,0.508,0.34,0.166,0.283,0.216,0.274,0.416,4.354
2024-08-30,H002,monsoon,no,13.98,0.0,0.597,0.157,0.1,0.292,0.183,0.305,0.468,4.171
2024-08-31,H002,monsoon,no,14.57,0.0,0.599,0.331,0.1,0.108,0.244,0.194,0.31,4.472
2024-09-01,H003,monsoon,no,18.46,0.0,0.613,0.127,0.322,0.153,0.185,0.424,0.451,5.368
2024-09-02,H005,monsoon,no,11.63,0.0,0.558,0.284,0.1,0.108,0.056,0.163,0.483,3.855
2024-09-03,H002,monsoon,no,12.01,0.0,0.744,0.36,0.1,0.17,0.239,0.259,0.528,5.268
2024-09-04,H004,monsoon,no,17.88,0.0,0.613,0.344,0.199,0.189,0.262,0.227,0.4,4.692
2024-09-05,H004,monsoon,no,20.02,0.0,0.569,0.209,0.181,0.152,0.301,0.224,0.366,4.362
2024-09-06,H004,monsoon,no,11.86,0.0,0.497,0.218,0.1,0.034,0.149,0.214,0.303,3.862
